district,Democrat,Republican,Swing,Unknown,total_voters,republican_voters,democrat_voters,net_advantage_2026,net_advantage_pct_2026,rep_pct_2026,dem_pct_2026,advantage_2026
1,18958.0,449545.0,4262.0,0,472765.0,449545.0,18958.0,430587.0,91.07844277812444,95.08846890103962,4.010026122915191,Republican
2,229138.0,245669.0,45886.0,0,520693.0,245669.0,229138.0,16531.0,3.1748074201112746,47.181160491882935,44.006353071771656,Republican
3,18191.0,385289.0,10379.0,0,413859.0,385289.0,18191.0,367098.0,88.70122433002544,93.0966826866155,4.395458356590046,Republican
4,333494.0,226594.0,45865.0,0,605953.0,226594.0,333494.0,-106900.0,-17.64163227180986,37.39464942000452,55.03628169181438,Democrat
5,28057.0,176303.0,6890.0,0,211250.0,176303.0,28057.0,148246.0,70.17562130177515,83.45704142011834,13.281420118343195,Republican
6,901313.0,687482.0,108987.0,0,1697782.0,687482.0,901313.0,-213831.0,-12.594726531439255,40.49294903585972,53.08767556729899,Democrat
7,402451.0,472910.0,111797.0,0,987158.0,472910.0,402451.0,70459.0,7.137560552616703,47.9062115689687,40.768651016351996,Republican
8,165646.0,296244.0,42667.0,0,504557.0,296244.0,165646.0,130598.0,25.883695994704265,58.71368348868413,32.829987493979864,Republican
9,143200.0,388345.0,89203.0,0,620748.0,388345.0,143200.0,245145.0,39.49187109745017,62.56081372795401,23.068942630503845,Republican
10,205649.0,146297.0,47699.0,0,399645.0,146297.0,205649.0,-59352.0,-14.85118042262508,36.606738480401354,51.45791890302643,Democrat
11,185553.0,430661.0,66935.0,0,683149.0,430661.0,185553.0,245108.0,35.87914203197253,63.04056655283108,27.161424520858553,Republican
12,211556.0,346260.0,72558.0,0,630374.0,346260.0,211556.0,134704.0,21.368901636171543,54.92929594177425,33.560394305602706,Republican
13,881625.0,354781.0,90004.0,0,1326410.0,354781.0,881625.0,-526844.0,-39.719543730822295,26.747461192240714,66.467004923063,Democrat
14,131.0,11806.0,185.0,0,12122.0,11806.0,131.0,11675.0,96.31248968817026,97.39316944398614,1.0806797558158718,Republican
15,939883.0,555268.0,127551.0,0,1622702.0,555268.0,939883.0,-384615.0,-23.702133848359093,34.21872900877672,57.920862857135816,Democrat
16,405078.0,44987.0,27513.0,0,477578.0,44987.0,405078.0,-360091.0,-75.39941119565809,9.419822521137908,84.819233716796,Democrat
17,298660.0,431324.0,80606.0,0,810590.0,431324.0,298660.0,132664.0,16.3663504361021,53.211117827755096,36.844767391652994,Republican
18,239233.0,215610.0,60295.0,0,515138.0,215610.0,239233.0,-23623.0,-4.585761485271908,41.85480395544495,46.44056544071686,Democrat
19,380106.0,81372.0,36492.0,0,497970.0,81372.0,380106.0,-298734.0,-59.99036086511236,16.34074341827821,76.33110428339056,Democrat
20,391734.0,223020.0,10140.0,0,624894.0,223020.0,391734.0,-168714.0,-26.99881899970235,35.68925289729138,62.68807189699373,Democrat
21,166464.0,80588.0,3484.0,0,250536.0,80588.0,166464.0,-85876.0,-34.27691030430757,32.16623559089313,66.4431458952007,Democrat
22,179830.0,475635.0,50210.0,0,705675.0,475635.0,179830.0,295805.0,41.91802175222305,67.40142416834945,25.483402416126406,Republican
23,553253.0,12209.0,6568.0,0,572030.0,12209.0,553253.0,-541044.0,-94.58315123332693,2.1343286191283672,96.71747985245528,Democrat
24,84710.0,309366.0,26287.0,0,420363.0,309366.0,84710.0,224656.0,53.443333499856074,73.59496435223842,20.151630852382347,Republican
25,91349.0,436484.0,72627.0,0,600460.0,436484.0,91349.0,345135.0,57.47843320121241,72.69160310428671,15.21316990307431,Republican
26,481791.0,62929.0,51413.0,0,596133.0,62929.0,481791.0,-418862.0,-70.26317952537437,10.55620138459035,80.81938090996472,Democrat
27,216737.0,328709.0,18302.0,0,563748.0,328709.0,216737.0,111972.0,19.862066029502543,58.30779000546343,38.44572397596089,Republican
28,7342.0,215617.0,2419.0,0,225378.0,215617.0,7342.0,208275.0,92.41141548864574,95.66905376744846,3.2576382788027227,Republican
29,34581.0,209603.0,10643.0,0,254827.0,209603.0,34581.0,175022.0,68.68267491278397,82.25305795696688,13.570383044182915,Republican
30,119223.0,424937.0,59116.0,0,603276.0,424937.0,119223.0,305714.0,50.67564431537141,70.43824053998502,19.76259622461361,Republican
31,6129.0,228194.0,963.0,0,235286.0,228194.0,6129.0,222065.0,94.38088114039934,96.98579600996234,2.604914869563,Republican
