old_district,new_district,voter_count
1,1,288824
1,2,22610
1,6,2888
1,7,8210
1,8,28726
1,9,16861
1,17,34932
1,18,39834
1,19,7635
1,23,6064
1,25,17116
1,28,8479
1,29,19181
1,36,12455
1,38,10350
2,2,280266
2,16,237158
3,2,20815
3,3,63958
3,7,68810
3,8,9933
3,9,63303
3,18,143340
3,29,102424
3,36,32238
3,38,68041
4,2,13548
4,4,313461
4,7,27658
4,8,7914
4,9,26777
4,15,4120
4,18,41338
4,29,45481
4,31,24982
4,36,11196
4,38,25034
5,2,2559
5,4,41924
5,5,301012
5,6,1053
5,7,14332
5,9,20037
5,18,36067
5,25,9429
5,29,26106
5,34,35655
5,36,9142
6,2,43574
6,6,194873
6,7,8362
6,8,46347
6,9,21432
6,10,30684
6,14,25248
6,15,2146
6,18,21330
6,22,4025
6,29,19184
6,34,4891
6,36,35990
6,38,15638
7,7,430497
8,8,249627
8,9,4452
8,16,230350
8,17,44533
8,18,2849
8,23,8570
8,29,5948
9,9,365570
9,14,46189
9,36,15072
10,2,5901
10,7,19478
10,8,396
10,9,21385
10,10,272563
10,11,20906
10,13,14823
10,17,21009
10,18,42164
10,19,12201
10,29,46616
10,31,23608
10,36,19649
10,38,3972
11,1,7702
11,2,8808
11,4,9960
11,7,28035
11,8,2094
11,9,34131
11,11,120806
11,13,1519
11,15,16983
11,18,73473
11,19,7807
11,25,2448
11,29,80804
11,35,2902
11,36,30994
11,37,2539
11,38,36605
12,2,4782
12,7,9657
12,8,3781
12,9,12481
12,12,433989
12,18,17548
12,29,5579
12,36,4857
12,38,39261
13,8,3010
13,10,2410
13,11,4197
13,13,341889
13,15,14629
13,16,8310
13,17,14950
13,19,7171
13,21,6920
13,22,2347
13,23,16416
13,25,11936
13,28,853
13,31,6258
13,34,25719
13,35,5294
13,36,15681
13,37,2233
14,2,54711
14,3,43835
14,4,7180
14,8,47305
14,14,307987
14,32,5329
14,36,31613
15,2,14439
15,7,29908
15,8,5533
15,9,31558
15,14,26480
15,15,55904
15,16,7795
15,18,67951
15,29,96067
15,31,8467
15,35,8647
15,36,28828
15,37,30535
15,38,20560
16,16,471994
17,3,97954
17,4,40338
17,7,5779
17,10,12616
17,11,14473
17,15,14406
17,16,12323
17,17,215766
17,18,7412
17,22,10593
17,27,13937
17,29,3890
17,32,21551
17,34,4689
17,36,7840
17,38,878
18,18,423957
19,3,6314
19,4,5954
19,5,7902
19,6,4538
19,7,865
19,8,4388
19,9,844
19,10,600
19,13,18436
19,14,7845
19,15,7994
19,16,194172
19,18,1131
19,19,134931
19,21,831
19,22,6034
19,23,10034
19,25,11720
19,27,18996
19,28,487
19,29,5108
19,34,2704
19,35,847
19,36,11642
20,20,456611
21,2,2738
21,7,9301
21,8,8267
21,9,3513
21,11,2857
21,14,15338
21,18,9689
21,21,517230
21,22,6592
21,28,2704
21,29,10887
21,31,8194
21,36,8390
21,38,6497
22,10,26463
22,14,73189
22,22,400225
22,36,22804
23,1,3810
23,2,10738
23,3,9918
23,4,82390
23,5,5366
23,6,7589
23,8,19415
23,10,20082
23,13,2354
23,14,5751
23,17,3563
23,22,2106
23,23,335218
23,27,3795
23,28,7244
23,36,4217
24,24,543784
25,1,12407
25,2,38095
25,7,8201
25,8,58168
25,13,9330
25,15,7435
25,16,5869
25,17,32960
25,18,9864
25,19,5907
25,25,315954
25,29,2306
25,31,10057
25,36,4679
25,38,3703
26,15,23033
26,26,540877
26,34,15526
27,1,14469
27,4,24909
27,5,4642
27,8,820
27,9,5954
27,15,13205
27,16,216370
27,17,74239
27,19,11390
27,23,2856
27,27,111180
27,29,3816
27,36,2446
27,38,1458
28,1,32858
28,2,13528
28,8,22873
28,10,3558
28,16,8050
28,28,395054
29,29,339572
30,30,467890
31,2,3299
31,7,5018
31,8,48924
31,9,32061
31,14,10049
31,18,29097
31,29,15516
31,31,372553
31,36,29080
31,38,20509
32,2,2818
32,7,9117
32,9,2038
32,18,3839
32,29,17535
32,32,369432
32,36,3274
32,38,5299
33,33,347152
34,2,147401
34,7,28918
34,8,104002
34,9,16135
34,18,51656
34,28,270
34,29,25395
34,34,11687
34,36,9752
34,38,26307
35,21,522
35,35,488169
36,2,25318
36,5,24575
36,7,3472
36,8,22837
36,9,7299
36,17,9504
36,18,16043
36,29,6829
36,31,14884
36,36,363588
37,37,555357
38,38,521742
