district,republican_voters,democrat_voters,other_voters,total_voters,republican_pct,democrat_pct,other_pct
0,6,3,7,16,37.5,18.75,43.75
1,84317,12385,55936,152638,55.239848530510095,8.113968998545579,36.646182470944325
2,56484,20871,43585,120940,46.70415081858773,17.25731767818753,36.03853150322474
3,92302,15942,50682,158926,58.07860262008734,10.03108364899387,31.89031373091879
4,75489,16147,41952,133588,56.50881815731952,12.08716351768123,31.40401832499925
5,72941,19672,48986,141599,51.512369437637275,13.892753479897458,34.59487708246527
6,9613,17179,17364,44156,21.770540809855966,38.90524504031162,39.324214149832414
7,51179,18046,36954,106179,48.200679983800946,16.99582780022415,34.80349221597491
8,69962,24652,41697,136311,51.32527822406116,18.085114187409673,30.589607588529173
9,53475,17639,37251,108365,49.347113920546306,16.277395838139622,34.375490241314075
10,57815,20580,46417,124812,46.32166778835368,16.48879915392751,37.18953305771881
11,60490,22399,36242,119131,50.77603646406057,18.801991085443756,30.421972450495673
12,74888,25813,44532,145233,51.56403847610391,17.773508775553765,30.662452748342318
13,11144,39772,25176,76092,14.645429217263311,52.26830678652158,33.08626399621511
14,21315,60893,52187,134395,15.859965028460879,45.308977268499575,38.83105770303955
15,21757,36379,33392,91528,23.7708679311249,39.74630714098418,36.48282492789092
16,17594,23131,28247,68972,25.508902163196662,33.53679754103114,40.95430029577219
17,66290,21510,36228,124028,53.44760860450866,17.342858064308057,29.20953333118328
18,72039,24338,46551,142928,50.40230045897235,17.02815403559834,32.56954550542931
19,30778,36487,32536,99801,30.839370346990513,36.559753910281465,32.60087574272803
20,22176,42185,23141,87502,25.34342072181207,48.21032662110581,26.446252657082127
21,25748,56577,37163,119488,21.548607391537224,47.34952463845742,31.101867970005355
22,61564,16818,49779,128161,48.036454147517574,13.12255678404507,38.84098906843735
23,11803,43307,35887,90997,12.970757277712453,47.59167884655538,39.43756387573217
24,75093,19012,46931,141036,53.2438526333702,13.480246178280723,33.275901188349074
25,85286,30545,57677,173508,49.15392950180971,17.60437559075086,33.24169490743943
26,23579,31164,31527,86270,27.331633244465053,36.123797380317605,36.54456937521734
27,27804,37797,23879,89480,31.07286544479213,42.240724184175235,26.686410371032633
28,74972,7967,43676,126615,59.21257354973739,6.292303439560873,34.49512301070173
29,16535,30990,28108,75633,21.862150119656764,40.97417793820158,37.163671942141654
30,73849,17013,45170,136032,54.28796165608092,12.506616090331688,33.20542225358739
31,63496,5067,42116,110679,57.36951002448522,4.57810424741821,38.05238572809657
