SLDUST,NAMELSAD,district_id,total_voters,early_voters,turnout_rate
004,State Senate District 4,004,662268,41549,6.273744163994033
007,State Senate District 7,007,630287,44004,6.981581406565581
008,State Senate District 8,008,697632,47821,6.85476010274758
012,State Senate District 12,012,680294,61290,9.009340079436244
016,State Senate District 16,016,477578,26981,5.64954834602934
018,State Senate District 18,018,653096,45166,6.915675490280143
020,State Senate District 20,020,503748,23890,4.742450590374552
023,State Senate District 23,023,572030,33482,5.853189518032271
025,State Senate District 25,025,745028,95692,12.844081027827142
026,State Senate District 26,026,547552,59261,10.822899012331249
029,State Senate District 29,029,556733,23949,4.3017029707238486
031,State Senate District 31,031,518544,30876,5.954364528371749
017,State Senate District 17,017,591849,44112,7.45325243432024
001,State Senate District 1,001,636846,36949,5.80187360837628
006,State Senate District 6,006,425240,15536,3.6534662778666163
030,State Senate District 30,030,702940,50915,7.243150197740916
010,State Senate District 10,010,607354,39898,6.5691507753303675
014,State Senate District 14,014,696484,92235,13.2429459973237
011,State Senate District 11,011,622795,36523,5.864369495580408
003,State Senate District 3,003,635907,36926,5.806823953817146
027,State Senate District 27,027,524673,24370,4.644797807396226
019,State Senate District 19,019,598242,43872,7.3334871172535525
021,State Senate District 21,021,568889,28526,5.014334958137703
022,State Senate District 22,022,624586,48896,7.828545628624401
024,State Senate District 24,024,657456,53379,8.119022413667226
002,State Senate District 2,002,632670,59131,9.346262664580271
005,State Senate District 5,005,632962,54597,8.625636294121922
028,State Senate District 28,028,574221,31745,5.528359290238427
009,State Senate District 9,009,620748,64084,10.32367401908665
013,State Senate District 13,013,501174,37484,7.479238747421054
015,State Senate District 15,015,565019,41996,7.432670405773965
