Old_CD,Net_Republican_Change,Net_Democrat_Change,Old_CD_Republican,Old_CD_Democrat,Old_CD_Total
1,3.1254573060234065,1.133987327044025,68131,11077,524266
2,-3.410605131648481e-13,-1.4210854715202004e-14,49391,14409,517424
3,3.637978807091713e-12,1.7053025658242404e-12,59339,19743,572862
4,1.1123563759713306,0.24934905211011937,66929,15003,541518
5,5.864433529624648,2.0618230874551955,41083,14444,497387
6,-1.178581606093303,0.2316621387997202,43237,12194,473733
7,2.2737367544323206e-13,2.9274360713316128e-12,19837,29162,430497
8,-0.4449357913681524,0.33050605479354545,56640,12038,546344
9,-8.526512829121202e-13,-1.3926637620897964e-12,10695,33275,426831
10,4.405313487776084,5.738593472838943,58845,16549,524853
11,-2.339714392021733,0.3791170017580967,51835,7387,467634
12,2.2737367544323206e-12,0.0,50588,15640,531935
13,-5.143641281287387,0.5061172122323114,57291,7519,490256
14,-2.4349181104744275,0.9887949107219356,63406,17586,497988
15,0.0,9.094947017729282e-13,26079,35935,432672
16,-5.684341886080801e-13,1.1368683772161603e-13,12092,24569,471994
17,0.11489619069971013,0.02520817593688207,55661,12212,484446
18,0.0,9.094947017729282e-13,9736,27960,423957
19,11.731592510840414,7.447916106942664,59630,6642,465259
20,9.094947017729282e-13,9.094947017729282e-13,15979,23183,456611
21,0.26114711066338714,0.09070906682256918,79937,27766,612199
22,0.4255182375679851,0.16597377005371072,55603,21688,522685
23,6.131259775302624,-10.104520081506053,43932,36319,523641
24,6.16751094639767e-12,-1.6342482922482304e-13,58741,22877,543784
25,1.0702507991045422,0.6888327155107845,59695,13393,524962
26,2.2737367544323206e-13,-4.547473508864641e-13,60431,16084,579436
27,-0.17635240137553865,0.25035160590596206,50218,15264,487762
28,8.509258247988441,-3.090272118561188,23218,48612,476116
29,-5.684341886080802e-14,-1.7053025658242404e-13,6647,14047,339572
30,1.1368683772161603e-13,9.094947017729282e-13,9423,36626,467890
31,0.11016821908242491,0.03126440761229787,62367,17699,566107
32,-4.547473508864641e-13,-6.821210263296962e-13,16249,23001,413352
33,-5.684341886080802e-14,6.821210263296962e-13,7000,16172,347152
34,0.12204941094904598,0.2521410304455003,17149,35428,421526
35,-2.2737367544323206e-13,-1.8189894035458565e-12,12080,27272,488691
36,3.3571983349725087,-5.3252994502490765,55141,14526,494406
37,0.0,-4.092726157978177e-12,17821,51641,555357
38,3.183231456205249e-12,3.979039320256561e-13,49706,17334,521742
