district,old_expected_republican_voters,new_republican_voters,net_republican_change,pct_republican_change,old_expected_democrat_voters,new_democrat_voters,net_democrat_change,pct_democrat_change,old_expected_other_voters,new_other_voters,net_other_change,new_rep_known,new_rep_modeled,new_dem_known,new_dem_modeled,old_expected_republican_pct,new_republican_pct,old_expected_democrat_pct,new_democrat_pct
1,288632.02207471535,316382.0,27749.97792528465,9.614310195318968,59173.03079870271,31397.0,-27776.03079870271,-46.94035513102645,774.9471265819375,801.0,26.052873418062518,19914.0,296468.0,2878.0,28519.0,82.80223250752061,90.76309598944289,16.975452062282034,9.007114579149693
2,393618.96050312225,326965.0,-66653.96050312225,-16.933625457962037,255389.58149373747,321822.0,66432.41850626253,26.01218817060145,1717.4580031402875,1939.0,221.54199685971253,18251.0,308714.0,10413.0,311409.0,60.48920136941236,50.246186567003626,39.2468691113829,49.45583855570547
3,164669.25842706658,195778.0,31108.741572933417,18.891650979719294,44852.93816243763,13872.0,-30980.938162437633,-69.07226021679625,691.8034104957842,564.0,-127.80341049578419,9865.0,185913.0,1457.0,12415.0,78.33410639970057,93.13271237881398,21.336798768130397,6.5989896010731925
4,378579.63040430384,463807.0,85227.36959569616,22.51240234575686,135957.63136965054,51097.0,-84860.63136965054,-62.41696807656635,1798.7382260456216,1432.0,-366.73822604562156,24277.0,439530.0,6617.0,44480.0,73.32040190966809,89.82658578909857,26.33123225373604,9.896075423755073
5,190058.3162910563,140798.0,-49260.31629105631,-25.918527140700753,118998.38154876078,168183.0,49184.61845123922,41.33217427926558,613.3021601829096,689.0,75.69783981709043,10576.0,130222.0,5199.0,162984.0,61.37446839895899,45.467110149514,38.42748136686175,54.31039493654536
6,136682.82074363282,79953.0,-56729.82074363282,-41.5047190531993,58983.02354529463,115734.0,56750.97645470537,96.21578047982703,412.155711072548,391.0,-21.155711072548,5272.0,74681.0,3423.0,112311.0,69.708391937715,40.77611970746335,30.081408187198274,59.024469853833686
7,201636.25266698573,197717.0,-3919.2526669857325,-1.9437242138488913,453237.0813356277,457280.0,4042.9186643722933,0.8920096856281848,1974.6659973865608,1851.0,-123.66599738656078,14812.0,182905.0,12698.0,444582.0,30.697551437621147,30.100875697269387,69.0018210203316,69.61732394709279
8,386427.5494894458,279552.0,-106875.54948944581,-27.657331789788664,264601.1031240503,371358.0,106756.8968759497,40.346353668034375,1571.3473865038832,1690.0,118.65261349611683,15677.0,263875.0,10352.0,361006.0,59.213538076838155,42.83665338645418,40.54567930187715,56.90438247011952
9,221221.7695946557,220340.0,-881.7695946556923,-0.39859078800036607,436718.5232125027,437705.0,986.4767874972895,0.22588388975140405,1374.707192841568,1270.0,-104.70719284156803,12671.0,207669.0,16378.0,421327.0,33.55327417010923,33.41953391019467,66.23822045797574,66.38784192684832
10,229153.3634080897,207455.0,-21698.363408089703,-9.468926436592593,84760.50514374852,105934.0,21173.494856251476,24.980378326370932,1030.1314481617737,1555.0,524.8685518382263,15327.0,192128.0,6129.0,99805.0,72.76003461189599,65.87044045925626,26.912881383277195,33.635820971347286
11,130647.3631235684,156286.0,25638.6368764316,19.624304894835237,31701.06745585939,6099.0,-25602.06745585939,-80.76090021734362,327.5694205722102,291.0,-36.56942057221022,9608.0,146678.0,740.0,5359.0,80.31139388942954,96.07194669158326,19.487243020395994,3.749170129582729
12,266395.9815905457,240783.0,-25612.981590545678,-9.614627607226144,96160.34221303482,121698.0,25537.65778696518,26.557369908676836,999.676196419503,1075.0,75.32380358049704,11743.0,229040.0,5725.0,115973.0,73.27508873200983,66.22996182156257,26.449939545224073,33.47434783087062
13,331910.4702296522,326665.0,-5245.470229652186,-1.5803870923453522,39574.99034865612,44846.0,5271.009651343877,13.319042165029533,833.5394216916902,808.0,-25.539421691690222,18913.0,307752.0,2493.0,42353.0,89.14679890890666,87.73793440571123,10.62932333527328,12.045047392155652
14,341095.2331296853,377912.0,36816.76687031472,10.793691407677015,153626.58828772383,116844.0,-36782.58828772383,-23.942853055380322,1504.1785825908883,1470.0,-34.178582590888254,20856.0,357056.0,7668.0,109176.0,68.73788014527358,76.1572348083333,30.95899616056471,23.546529202419865
15,95614.29898230359,148744.0,53129.70101769641,55.56668990223912,61369.90745851191,8304.0,-53065.90745851191,-86.46893837079064,459.79355918450165,396.0,-63.793559184501646,8982.0,139762.0,1348.0,6956.0,60.729083980528685,94.47422575645945,38.97887976582906,5.274256243489749
16,676357.793857533,730704.0,54346.20614246698,8.035126768113267,662872.5945573207,608579.0,-54293.5945573207,-8.19065307618865,2857.611585146282,2805.0,-52.61158514628187,38541.0,692163.0,19373.0,589206.0,50.39593483121323,54.44531208087696,49.39114235112159,45.345685230774734
17,326435.02083092113,338462.0,12026.97916907887,3.6843409565753396,107124.07070725884,95011.0,-12113.070707258841,-11.307515320586157,1149.9084618200286,1236.0,86.0915381799714,21074.0,317388.0,3672.0,91339.0,75.0927679967337,77.85944160346347,24.642708273180183,21.85623025978298
18,396256.6121880637,371400.0,-24856.61218806368,-6.272857391781948,566982.3455417313,591790.0,24807.654458268662,4.375383934497261,2200.0422702049837,2249.0,48.95772979501635,22834.0,348566.0,19512.0,572278.0,41.0441894504017,38.469545978565186,58.72793056233811,61.29750300122535
19,169883.99734718422,185971.0,16087.002652815776,9.469404360635274,16641.905658738742,598.0,-16043.905658738742,-96.40666151904311,424.09699407703374,381.0,-43.09699407703374,10412.0,175559.0,594.0,4.0,90.87135455853662,99.47633056967103,8.90179494984688,0.31987162342872427
20,10417.0,10417.0,0.0,0.0,417140.0,417140.0,0.0,0.0,731.0,731.0,0.0,4312.0,6105.0,8691.0,408449.0,2.4322418559474,2.4322418559474,97.397078601315,97.397078601315
21,310506.70606769936,282231.0,-28275.706067699357,-9.106310915402402,140366.5517840092,168535.0,28168.448215990793,20.067778155108737,2346.742148291436,2454.0,107.25785170856398,21568.0,260663.0,10979.0,157556.0,68.5112541520011,62.27240633687834,30.970952690527604,37.18613476898636
22,274358.4713095568,262283.0,-12075.4713095568,-4.401348080093408,92929.37840220865,104885.0,11955.621597791353,12.865276625488764,1005.1502882345521,1125.0,119.84971176544786,15797.0,246486.0,5742.0,99143.0,74.49462012841862,71.2158525956236,25.232458505105622,28.478684091199124
23,155507.64348005055,154692.0,-815.6434800505522,-0.5245037875936869,184174.71303080878,185538.0,1363.2869691912201,0.7402139776719343,1770.643489140668,1223.0,-547.643489140668,9893.0,144799.0,5702.0,179836.0,45.542913220868044,45.30403891604408,53.93852536976064,54.33778587389773
24,306732.0,306732.0,0.0,0.0,152779.0,152779.0,0.0,0.0,2340.0,2340.0,0.0,21370.0,285362.0,9878.0,142901.0,66.41362690564706,66.41362690564706,33.07971618552304,33.07971618552304
25,254094.1461907249,209650.0,-44444.14619072489,-17.491212157782176,79106.16513827929,123397.0,44290.83486172071,55.98910626535791,792.6886709958198,946.0,153.31132900418015,15323.0,194327.0,4834.0,118563.0,76.07768611639312,62.77077663304321,23.68497697205609,36.94598389786613
26,367601.13017377566,359100.0,-8501.130173775658,-2.3125963105056093,105406.47560704463,113868.0,8461.524392955369,8.027518560149884,1163.3942191797105,1203.0,39.60578082028951,16457.0,342643.0,4998.0,108870.0,77.52501316482359,75.73217257065488,22.2296335303181,24.014121487817686
27,96964.76426501623,113779.0,16814.23573498377,17.34056269041037,38878.461642711685,21863.0,-17015.461642711685,-43.765779106904226,413.7740922720841,615.0,201.2259077279159,6308.0,107471.0,1617.0,20246.0,71.1631433724625,83.50323286143097,28.53318482185259,16.045414180555863
28,109411.4174164999,101939.0,-7472.4174164998985,-6.829650499869142,284195.76459416636,291731.0,7535.235405833635,2.6514242450424996,1316.8179893337074,1254.0,-62.817989333707374,5929.0,96010.0,12646.0,279085.0,27.704423488190105,25.812308190943067,71.96214071420485,73.87016236035288
29,333977.45030705765,313334.0,-20643.450307057647,-6.1810910551230736,478116.9734392168,498820.0,20703.02656078321,4.330117463067895,1766.576253725565,1707.0,-59.57625372556504,18502.0,294832.0,12008.0,486812.0,41.03617820574492,38.499694665305256,58.7467606187318,61.29056435927019
30,6456.0,6456.0,0.0,0.0,456376.0,456376.0,0.0,0.0,573.0,573.0,0.0,2773.0,3683.0,18400.0,437976.0,1.3931658052891098,1.3931658052891098,98.48318425567268,98.48318425567268
31,306045.28433486685,294336.0,-11709.284334866854,-3.825997306351193,100236.84218339428,111887.0,11650.157816605715,11.622630524703158,1363.8734817388613,1423.0,59.1265182611387,18501.0,275835.0,5487.0,106400.0,75.07623877944756,72.20382390603612,24.58918821315413,27.44709870819289
32,46473.9345990751,45894.0,-579.9345990751026,-1.2478706700392959,328247.2267269204,328835.0,587.7732730795979,0.1790642007673642,973.8386740044807,966.0,-7.838674004480708,6517.0,39377.0,10207.0,318628.0,12.370123264636234,12.215760124569131,87.37066682466373,87.52711641091842
33,15378.000000000002,15378.0,-1.8189894035458565e-12,-1.1828517385523841e-14,319536.0,319536.0,0.0,0.0,368.0,368.0,0.0,2098.0,13280.0,6823.0,312713.0,4.586586813488347,4.586586813488347,95.30365483384136,95.30365483384136
34,66606.14600585666,89003.0,22396.85399414334,33.62580683196111,33974.81910099421,11598.0,-22376.81910099421,-65.86295289601526,231.03489314913168,211.0,-20.034893149131676,6188.0,82815.0,775.0,10823.0,66.06966036370339,88.28611673213507,33.70116563602965,11.504582787763361
35,37574.75052491779,45243.0,7668.249475082208,20.40798506432395,454837.29739349504,447174.0,-7663.297393495042,-1.6848436655064518,745.9520815871656,741.0,-4.952081587165594,4204.0,41039.0,10227.0,436947.0,7.619211393694878,9.174138916939398,92.22952834456605,90.67560497852615
36,463187.8110516771,486696.0,23508.188948322902,5.07530388050305,194185.54186226302,170866.0,-23319.541862263024,-12.008897077828646,1675.6470860598783,1487.0,-188.64708605987835,25480.0,461216.0,8170.0,162696.0,70.28124024946204,73.84822676310866,29.464507473991013,25.926145096950304
37,19254.36413287249,42641.0,23386.63586712751,121.46148117766245,562220.3995384051,538894.0,-23326.399538405123,-4.148977795461814,2783.236328722327,2723.0,-60.236328722327016,7322.0,35319.0,25058.0,513836.0,3.2955242603220647,7.29831683947845,96.22810462816172,92.23562193414553
38,504010.6308945366,508560.0,4549.369105463382,0.9026335610002897,193753.63903529436,189192.0,-4561.639035294356,-2.354350121116127,1993.7300701690256,2006.0,12.269929830974434,26528.0,482032.0,9722.0,179470.0,72.026419261307,72.67655389434633,27.688663657335017,27.036775570983114
